base_epoch,base_loss,scale_epoch,scale_loss
1.0,0.0067083176411688325,,
2.0,0.006109227705746889,,
3.0,0.0057996403239667415,,
4.0,0.00542974716052413,,
5.0,0.005052067562937737,,
6.0,0.004717147387564183,,
7.0,0.004435116052627563,,
8.0,0.004339594803750515,,
9.0,0.004093616306781769,,
10.0,0.0038622938841581344,,
11.0,0.0037149898614734413,,
12.0,0.0035319282673299313,,
13.0,0.0033883452508598564,,
14.0,0.0032323088683187963,,
15.0,0.0030974677857011556,,
16.0,0.002959856064990163,,
17.0,0.0028654423635452986,,
18.0,0.0027151367627084254,,
19.0,0.002578623974695802,,
20.0,0.002477823020890355,,
21.0,0.002422541845589876,,
22.0,0.002357323346659541,,
23.0,0.002240264369174838,,
24.0,0.0021791383484378456,,
25.0,0.0020951700350269674,,
26.0,0.0019921649806201457,,
27.0,0.0019337242702022195,,
28.0,0.001908900155685842,,
29.0,0.0018089510360732675,,
30.0,0.0017936952784657477,,
31.0,0.0017241945862770081,,
32.0,0.0016901904065161942,,
33.0,0.0015995884127914905,,
34.0,0.0015688281320035457,,
35.0,0.0015503344545140863,,
36.0,0.0015199072193354368,,
37.0,0.0014682734478265048,,
38.0,0.0014789310051128268,,
39.0,0.0014053394133225084,,
40.0,0.0013894846336916088,,
41.0,0.0013835284719243646,,
42.0,0.0013165272260084748,,
43.0,0.0013159220758825541,,
44.0,0.0013035925617441535,,
45.0,0.0012392301019281148,,
46.0,0.0011936747748404742,,
47.0,0.001194609235972166,,
48.0,0.0011763669596984983,,
49.0,0.0011781377159059048,,
50.0,0.0011647679563611746,,
51.0,0.0011684552300721407,,
52.0,0.001134480619803071,,
53.0,0.0010752206086181103,,
54.0,0.0010988583276048303,,
55.0,0.0010961992340162397,,
56.0,0.0010712474351748825,,
57.0,0.0010444495687261224,,
58.0,0.0010235251486301422,,
59.0,0.0010446784761734306,,
60.0,0.0010020965454168617,,
61.0,0.0009993855212815106,,
62.0,0.0009923277492634953,,
63.0,0.0009890170581638813,,
64.0,0.0009822829673066735,,
65.0,0.0009825512673705815,,
66.0,0.0009655729099176824,,
67.0,0.0009726394526660443,,
68.0,0.0009384066518396139,,
69.0,0.0009177711280062795,,
70.0,0.0009148667030967772,,
71.0,0.0008906201738864183,,
72.0,0.0009174744482152164,,
73.0,0.0008981884107924998,,
74.0,0.0008879268751479686,,
75.0,0.0008903796691447497,,
76.0,0.000884477172512561,,
77.0,0.0008560297405347229,,
78.0,0.0008497310243546963,,
79.0,0.0008737734379246831,,
80.0,0.0008518016664311289,,
81.0,0.0008363912580534816,,
82.0,0.0008386245626024901,,
83.0,0.0008253603335469961,,
84.0,0.0008263803692534566,,
85.0,0.0008252391847781837,,
86.0,0.0008362016757018864,,
87.0,0.0008104030741378665,,
88.0,0.0007726605166681111,,
89.0,0.0007901070942170918,,
90.0,0.0007901017810218036,,
91.0,0.0007850727625191211,,
92.0,0.000787265202961862,,
93.0,0.000788913054857403,,
94.0,0.0007789138052612543,,
95.0,0.0007781176618300379,,
96.0,0.0007724517397582531,,
97.0,0.0007677988545037807,,
98.0,0.0007402628636918962,,
99.0,0.0007566714263521134,,
100.0,0.0007494551781564951,,
101.0,0.0007411015126854181,,
